Parent MNE	WikiID		WikiTopic		MID		Weight
Alphabet Inc	Q866	>>	YouTube	>>	/m/09jcvs	>>	43,97298049
Alphabet Inc	Q95	>>	Google	>>	/m/045c7b	>>	24,06749804
Alphabet Inc	Q1377855	>>	Google.org	>>	/m/0h1p85	>>	18,5153406
Alphabet Inc	Q20800404	>>	Alphabet_Inc.	>>	/g/11bwcf511s	>>	4,384545105
Alphabet Inc	Q942327	>>	Waze	>>	/m/0bh7m8p	>>	1,182290044
Alphabet Inc	Q171186	>>	Blogger_(service)	>>	/m/01scs3	>>	0,994556075
Alphabet Inc	Q509284	>>	G_Suite	>>	/m/012vtfpw	>>	0,870320766
Alphabet Inc	Q271982	>>	Google_Ads	>>	/m/03l68z	>>	0,786064471
Alphabet Inc	Q17054505	>>	Google_Cloud_Platform	>>	/m/0105pbj4	>>	0,623467788
Alphabet Inc	Q15733006	>>	DeepMind	>>	/m/0_fk4h0	>>	0,491293268
Alphabet Inc	Q1011981	>>	Google_China	>>	/m/0bd9v_	>>	0,458115356
Alphabet Inc	Q51712	>>	Google_Voice	>>	/m/02q0knk	>>	0,449040542
Alphabet Inc	Q133928	>>	X_(company)	>>	/m/0hhrhd0	>>	0,376664891
Alphabet Inc	Q166561	>>	Google_Fiber	>>	/m/0bmg1t3	>>	0,319567933
Alphabet Inc	Q10996045	>>	Kaggle	>>	/m/0gmdd6q	>>	0,283835851
Alphabet Inc	Q13463146	>>	Loon_LLC	>>	/m/0w1dfyl	>>	0,27233082
Alphabet Inc	Q14932155	>>	Calico_(company)	>>	/m/0x2fsrt	>>	0,26417125
Alphabet Inc	Q1053674	>>	DoubleClick	>>	/m/037qmb	>>	0,256622677
Alphabet Inc	Q164203	>>	VirusTotal	>>	/m/03mbg_r	>>	0,23522775
Alphabet Inc	Q2119882	>>	Google_Nest	>>	/m/0hr65bq	>>	0,210397216
Alphabet Inc	Q15330	>>	Waymo	>>	/m/0dlm1pp	>>	0,198132193
Alphabet Inc	Q15330	>>	Waymo	>>	/g/11bc5cglk9	>>	0,198132193
Alphabet Inc	Q2591662	>>	GV_(company)	>>	/m/05s_8fc	>>	0,128624975
Alphabet Inc	Q1318441	>>	AdMob	>>	/m/02k7816	>>	0,103051978
Alphabet Inc	Q19758689	>>	Google_Store	>>	/m/012zz49h	>>	0,082697501
Alphabet Inc	Q28155573	>>	Apigee	>>	/g/11c5wmmh5k	>>	0,080790638
Alphabet Inc	Q776845	>>	FeedBurner	>>	/m/0fmngy	>>	0,067605363
Alphabet Inc	Q5974704	>>	ITA_Software	>>	/m/07t6v7	>>	0,056971754
Alphabet Inc	Q1114200	>>	Picnik	>>	/m/03c0zhb	>>	0,040050381
Alphabet Inc	Q18149509	>>	Dropcam	>>	/m/010rcv75	>>	0,018979734
Alphabet Inc	Q54958386	>>	FameBit	>>	/g/11f54ss0q9	>>	0,010632357
Altria Group Inc	Q1726300	>>	Philip_Morris_USA	>>	/m/03kjrs	>>	51,31952051
Altria Group Inc	Q7536052	>>	Skoal_(tobacco)	>>	/m/025rxmm	>>	37,33812409
Altria Group Inc	Q6967881	>>	Nat_Sherman	>>	/m/04hk84	>>	11,34235539
Amadeus IT Group SA	Q696061	>>	Amadeus_IT_Group	>>	/m/0br01y	>>	100
Amazon.com Inc	Q3884	>>	Amazon_(company)	>>	/m/0mgkg	>>	47,22066427
Amazon.com Inc	Q230051	>>	Alexa_Internet	>>	/m/02g43w_	>>	10,6295613
Amazon.com Inc	Q4740856	>>	Prime_Video	>>	/m/0gvlgh	>>	7,845158896
Amazon.com Inc	Q456157	>>	Amazon_Web_Services	>>	/m/05nrgx	>>	7,700358945
Amazon.com Inc	Q4555537	>>	Twitch_(service)	>>	/m/0hgpf7h	>>	7,350436544
Amazon.com Inc	Q223142	>>	Box_Office_Mojo	>>	/m/098ybl	>>	3,416719237
Amazon.com Inc	Q1809448	>>	Whole_Foods_Market	>>	/m/02xf2l	>>	2,903375817
Amazon.com Inc	Q27676067	>>	Amazon_Go	>>	/g/11dxb27cfn	>>	1,556668263
Amazon.com Inc	Q4740868	>>	Amazon_Studios	>>	/m/0n42bf0	>>	1,48462908
Amazon.com Inc	Q2359213	>>	Goodreads	>>	/m/03d4f2r	>>	1,311604221
Amazon.com Inc	Q147505	>>	Zappos	>>	/m/02dfb9	>>	1,264316989
Amazon.com Inc	Q366651	>>	Audible_(store)	>>	/m/05z2gj	>>	1,232271311
Amazon.com Inc	Q22906322	>>	Amazon_Books	>>	/g/11cjw6nvkj	>>	0,777215414
Amazon.com Inc	Q15279566	>>	Amazon_Prime_Air	>>	/m/010pczr8	>>	0,640529409
Amazon.com Inc	Q7719162	>>	Book_Depository	>>	/m/03g_1vs	>>	0,560428192
Amazon.com Inc	Q5297222	>>	Ring_Inc.	>>	/m/0r4sjp1	>>	0,54712298
Amazon.com Inc	Q4740864	>>	Amazon_Pay	>>	/m/04z_dtg	>>	0,539855209
Amazon.com Inc	Q22688437	>>	Amazon.ae	>>	/g/11bwff1l74	>>	0,524842071
Amazon.com Inc	Q318128	>>	AbeBooks	>>	/m/07qtd3	>>	0,442721452
Amazon.com Inc	Q28129037	>>	Amazon_Game_Studios	>>	/g/11c2nstym2	>>	0,381962888
Amazon.com Inc	Q6418754	>>	Amazon_Robotics	>>	/m/05zlyd1	>>	0,379834469
Amazon.com Inc	Q4042525	>>	Amazon_Lab126	>>	/g/11bc5m23vv	>>	0,369337732
Amazon.com Inc	Q1663991	>>	Woot	>>	/m/06mmtc	>>	0,309269606
Amazon.com Inc	Q4740865	>>	Amazon_Publishing	>>	/m/0hgrcd2	>>	0,173673767
Amazon.com Inc	Q5271745	>>	Diapers.com	>>	/m/0bwkl4q	>>	0,16999316
Amazon.com Inc	Q5275948	>>	Digital_Photography_Review	>>	/m/027nmq2	>>	0,141467159
Amazon.com Inc	Q4942911	>>	BookFinder.com	>>	/m/01ysqn	>>	0,125981616
America Movil SAB de CV	Q1770208	>>	Claro_(company)	>>	/m/08bsvf	>>	22,83582692
America Movil SAB de CV	Q1420164	>>	Telmex	>>	/m/02mnjk	>>	16,50284755
America Movil SAB de CV	Q9089355	>>	TracFone_Wireless	>>	/m/05kvb2	>>	12,02465389
America Movil SAB de CV	Q1475683	>>	NET_(telecommunications)	>>	/m/062dzm	>>	10,88597711
America Movil SAB de CV	Q3517255	>>	Telcel	>>	/m/07nb7y	>>	7,313569283
America Movil SAB de CV	Q279847	>>	A1_Telekom_Austria	>>	/g/1218r9m3	>>	4,168447309
America Movil SAB de CV	Q5127720	>>	Claro_Colombia	>>	/m/0285lsf	>>	3,246729715
America Movil SAB de CV	Q688755	>>	A1_Telekom_Austria_Group	>>	/m/0kqn6z	>>	3,23920828
America Movil SAB de CV	Q4382227	>>	Embratel	>>	/m/063564	>>	3,090283879
America Movil SAB de CV	Q2919781	>>	Claro_TV	>>	/m/080np0x	>>	2,950932213
America Movil SAB de CV	Q1941592	>>	A1_Bulgaria	>>	/m/0btjc9	>>	2,01560766
America Movil SAB de CV	Q1888809	>>	A1_Belarus	>>	/m/03c0rly	>>	1,944495917
America Movil SAB de CV	Q5127725	>>	Claro_Puerto_Rico	>>	/m/0chyt8	>>	1,655467707
America Movil SAB de CV	Q926555	>>	A1_Hrvatska	>>	/m/0cyvkw	>>	1,632835027
America Movil SAB de CV	Q826186	>>	Vip_mobile	>>	/m/02pys2r	>>	1,457585606
America Movil SAB de CV	Q5771250	>>	Claro_(Argentina)	>>	/m/0dnw9d	>>	1,446987221
America Movil SAB de CV	Q5127747	>>	Claro_TV_(Brasil)	>>	/g/125_j7bky	>>	1,252523954
America Movil SAB de CV	Q5401814	>>	Claro_(Chile)	>>	/g/121qg1vz	>>	1,168078759
America Movil SAB de CV	Q5127729	>>	Claro_(Dominican_Republic)	>>	/m/025t5pk	>>	1,167942006
American Electric Power Company Inc	Q464092	>>	American_Electric_Power	>>	/m/05khjc	>>	100
American Express Co	Q194360	>>	American_Express	>>	/m/01w6dw	>>	97,73132866
American Express Co	Q48774804	>>	American_Express_Global_Business_Travel	>>	/g/11gfmfp0qs	>>	2,268671339
American International Group Inc	Q212235	>>	American_International_Group	>>	/m/02l48d	>>	98,15944167
American International Group Inc	Q6505445	>>	Laya_Healthcare	>>	/m/02x3_qb	>>	1,071277028
American International Group Inc	Q16928030	>>	Travel_Guard	>>	/m/05zmcsp	>>	0,7692813
American Tower Corp	Q4745263	>>	American_Tower	>>	/m/02vvxdg	>>	100
Amgen Inc	Q470517	>>	Amgen	>>	/m/03r820	>>	100
Amphenol Corp	Q474621	>>	Amphenol	>>	/m/036y26	>>	100
Analog Devices Inc	Q484930	>>	Analog_Devices	>>	/m/02_01g	>>	100
Anglo American PLC	Q471891	>>	De_Beers	>>	/m/0f21v	>>	73,50941453
Anglo American PLC	Q541451	>>	Anglo_American_plc	>>	/m/04vd0h	>>	21,44389536
Anglo American PLC	Q539206	>>	Debswana	>>	/m/05sfj7	>>	1,814630378
Anglo American PLC	Q5358839	>>	Element_Six	>>	/m/09p0gr	>>	1,63112013
Anglo American PLC	Q620432	>>	Anglo_American_Platinum	>>	/m/08t6n2	>>	1,600939606
Anheuser Busch Inbev NV	Q128738	>>	AB_InBev	>>	/m/07s6r67	>>	28,23522672
Anheuser Busch Inbev NV	Q125074	>>	Anheuser-Busch	>>	/m/01t53n	>>	22,03855664
Anheuser Busch Inbev NV	Q521673	>>	Grupo_Modelo	>>	/m/05v2n2	>>	17,10428946
Anheuser Busch Inbev NV	Q865859	>>	Peroni_Brewery	>>	/m/06rmhj	>>	7,423677827
Anheuser Busch Inbev NV	Q152532	>>	Skol	>>	/m/0415mhg	>>	6,825098304
Anheuser Busch Inbev NV	Q2946947	>>	Bavaria_Brewery_(Colombia)	>>	/m/027rkgy	>>	4,876029379
Anheuser Busch Inbev NV	Q5584074	>>	Goose_Island_Brewery	>>	/m/06w0cq	>>	3,351191467
Anheuser Busch Inbev NV	Q595750	>>	Cerveza_Quilmes	>>	/m/06j03x	>>	3,082334241
Anheuser Busch Inbev NV	Q2142669	>>	Ambev	>>	/m/04rblj	>>	2,853542873
Anheuser Busch Inbev NV	Q205601	>>	Oriental_Brewery	>>	/m/0btm66	>>	2,292110018
Anheuser Busch Inbev NV	Q2852624	>>	Companhia_Antarctica_Paulista	>>	/m/047nmkt	>>	1,467986724
Anheuser Busch Inbev NV	Q5475421	>>	Four_Peaks_Brewery	>>	/m/05rljf	>>	0,449956358
Anthem Inc	Q677488	>>	Anthem_(company)	>>	/m/04xtkp	>>	87,14566467
Anthem Inc	Q4745709	>>	Amerigroup	>>	/m/02sf5nb	>>	10,97771986
Anthem Inc	Q7884633	>>	UniCare	>>	/m/09gjqvj	>>	1,87661547
Aon PLC	Q913851	>>	Aon_Hewitt	>>	/m/07k68s	>>	100
Apple Inc	Q312	>>	Apple_Inc.	>>	/m/0k8z	>>	87,65671423
Apple Inc	Q1961036	>>	Beats_Electronics	>>	/m/09v72rt	>>	6,913665303
Apple Inc	Q421253	>>	Apple_Store	>>	/m/02hwrl	>>	4,858529221
Apple Inc	Q1982831	>>	FileMaker	>>	/m/0c81jt	>>	0,571091252
Applied Materials Inc	Q621610	>>	Applied_Materials	>>	/m/02fj4b	>>	100
Assicurazioni Generali SpA	Q670482	>>	Assicurazioni_Generali	>>	/m/02pz38m	>>	69,28634579
Assicurazioni Generali SpA	Q832545	>>	Europ_Assistance	>>	/m/03wdz5y	>>	8,685155666
Assicurazioni Generali SpA	Q18624445	>>	Generali_Versicherungen	>>	/g/11b66jrhsd	>>	7,705807521
Assicurazioni Generali SpA	Q3633705	>>	Banca_Generali	>>	/m/0cqmsg_	>>	4,950757
Assicurazioni Generali SpA	Q1136191	>>	CosmosDirekt	>>	/g/120ndpdy	>>	3,734619141
Assicurazioni Generali SpA	Q3759654	>>	Genertel	>>	/g/1235wgg9	>>	1,854852756
Assicurazioni Generali SpA	Q1053676	>>	Central_Krankenversicherung	>>	/g/120t4151	>>	1,745497358
Assicurazioni Generali SpA	Q5877045	>>	Generali_Seguros	>>	/g/122whcp0	>>	1,715512813
Assicurazioni Generali SpA	Q16839814	>>	Genertellife	>>	/m/0vpsnyx	>>	0,321451957
AstraZeneca PLC	Q731938	>>	AstraZeneca	>>	/m/028zbs	>>	92,91100721
AstraZeneca PLC	Q1335294	>>	MedImmune	>>	/m/070nyb	>>	7,08899279
Atlas Copco AB	Q757164	>>	Atlas_Copco	>>	/m/02h12b	>>	95,89587033
Atlas Copco AB	Q25043251	>>	Desoutter_Tools	>>	/g/11cmszhd_w	>>	4,104129672
Australia and New Zealand Banking Group Ltd	Q714641	>>	Australia_and_New_Zealand_Banking_Group	>>	/m/03s14w	>>	87,66261016
Australia and New Zealand Banking Group Ltd	Q295862	>>	ANZ_Bank_New_Zealand	>>	/m/032dk1	>>	12,33738984
Autodesk Inc	Q628051	>>	Autodesk	>>	/m/018nm3	>>	95,30658836
Autodesk Inc	Q7200860	>>	PlanGrid	>>	/m/0nbv42l	>>	2,71885529
Autodesk Inc	Q6895780	>>	Moldflow	>>	/m/03p2prg	>>	1,974556349
Automatic Data Processing Inc	Q489080	>>	ADP_(company)	>>	/m/04hshv	>>	100
BASF SE	Q9401	>>	BASF	>>	/m/01713t	>>	92,03226254
BASF SE	Q567050	>>	Wintershall	>>	/m/0kqpnt	>>	6,944028418
BASF SE	Q795443	>>	BASF_Coatings	>>	/g/122vx735	>>	1,02370904
BB&T Corp	Q795486	>>	Truist_Financial	>>	/m/04vrhz	>>	100
BCE Inc	Q815694	>>	Bell_Canada	>>	/m/01lgnb	>>	19,27919718
BCE Inc	Q2894594	>>	Bell_Mobility	>>	/m/028y9b	>>	14,80454245
BCE Inc	Q767221	>>	CTV_Television_Network	>>	/m/0hm10	>>	11,80238807
BCE Inc	Q44631188	>>	Lucky_Mobile	>>	/g/11h9vqj3vq	>>	6,403034859
BCE Inc	Q1857828	>>	Much_(TV_channel)	>>	/m/01_zk6	>>	5,903892958
BCE Inc	Q815713	>>	Bell_Media	>>	/m/028y9p	>>	5,26805857
BCE Inc	Q660276	>>	CP24	>>	/m/02rn06	>>	4,999674542
BCE Inc	Q3560641	>>	Virgin_Mobile_Canada	>>	/m/02vkbg1	>>	4,557368773
BCE Inc	Q5014635	>>	CTV_News	>>	/m/02vk9xp	>>	3,657913161
BCE Inc	Q2894596	>>	Bell_TV	>>	/m/03c2fy	>>	3,489468646
BCE Inc	Q923069	>>	Bell_Fibe_TV	>>	/m/0cnx7rf	>>	3,344123731
BCE Inc	Q1024524	>>	CTV_News_Channel_(Canadian_TV_channel)	>>	/m/02rn2b	>>	3,216718714
BCE Inc	Q2894586	>>	Bell_Internet	>>	/m/01lgnq	>>	2,773460384
BCE Inc	Q1017576	>>	BNN_Bloomberg	>>	/m/02pxq31	>>	2,248440578
BCE Inc	Q1457764	>>	CTV_Sci-Fi_Channel	>>	/m/02zbrb	>>	2,156756594
BCE Inc	Q1890462	>>	Bell_MTS	>>	/m/034fbf	>>	1,690636803
BCE Inc	Q815690	>>	Bell_Aliant	>>	/m/03jzrh	>>	1,65475701
BCE Inc	Q3576232	>>	Z_(TV_channel)	>>	/m/09dg2r	>>	1,403598457
BCE Inc	Q3273260	>>	MTV_(Canadian_TV_channel)	>>	/m/02w1vt	>>	0,68131917
BCE Inc	Q7060284	>>	Northwestel	>>	/m/067dcz	>>	0,664649354
BHP Group PLC	Q625713	>>	BHP	>>	/m/01cjf_	>>	73,14576363
BHP Group PLC	Q588433	>>	Minera_Escondida	>>	/m/02ljx6	>>	26,85423637
BNP Paribas SA	Q499707	>>	BNP_Paribas	>>	/m/02qhk4	>>	55,66198442
BNP Paribas SA	Q704756	>>	Claas	>>	/m/0cq1nr	>>	14,47013959
BNP Paribas SA	Q2201225	>>	Banca_Nazionale_del_Lavoro	>>	/m/027mc06	>>	4,497786142
BNP Paribas SA	Q2881919	>>	Bank_of_the_West	>>	/m/02qhjc	>>	4,303350713
BNP Paribas SA	Q30085423	>>	Consorsbank	>>	/g/11bwdpp5sx	>>	3,793989402
BNP Paribas SA	Q796827	>>	BNP_Paribas_Fortis	>>	/m/07sc3dj	>>	2,718671079
BNP Paribas SA	Q1057718	>>	Cetelem	>>	/g/122yh95n	>>	2,448522055
BNP Paribas SA	Q1057718	>>	Cetelem	>>	/m/05zxmfn	>>	2,448522055
BNP Paribas SA	Q786711	>>	Cardif	>>	/m/05pc4rj	>>	1,924309987
BNP Paribas SA	Q1976290	>>	UkrSibbank	>>	/m/02vq77c	>>	1,552563819
BNP Paribas SA	Q3072937	>>	First_Hawaiian_Bank	>>	/m/026zb0z	>>	1,527466321
BNP Paribas SA	Q3745668	>>	Findomestic	>>	/g/121_4fsl	>>	0,982957283
BNP Paribas SA	Q795898	>>	BGL_BNP_Paribas	>>	/m/0h56mh5	>>	0,873583844
BNP Paribas SA	Q16466338	>>	Hello_bank!	>>	/m/01084z4b	>>	0,860164824
BNP Paribas SA	Q16466338	>>	Hello_bank!	>>	/g/11cn8zb3h3	>>	0,860164824
BNP Paribas SA	Q2866045	>>	Arval	>>	/g/121vl6vc	>>	0,694925589
BNP Paribas SA	Q537608	>>	Cortal_Consors	>>	/m/0bd36b	>>	0,380898053
BP PLC	Q152057	>>	BP	>>	/m/0k5b5	>>	84,31874232
BP PLC	Q1049970	>>	Castrol	>>	/m/04p1hb	>>	10,20559066
BP PLC	Q565734	>>	Aral_AG	>>	/m/076r9n	>>	4,806236624
