Parent MNE	Headquarters of Parent MNE	Number of Affiliates	Number of Domains	Number of Jurisdictions declared in Annual Reporting	Number of Jurisdictions with a Physical Presence	Number of Jurisdictions with Presence	International Share	C3	C5	HHI	AD	AE	AF	AG	AI	AL	AM	AN	AO	AR	AS	AT	AU	AW	AZ	BA	BB	BD	BE	BF	BG	BH	BI	BJ	BM	BN	BO	BR	BS	BT	BV	BW	BY	BZ	CA	CC	CD	CF	CG	CH	CI	CK	CL	CM	CN	CO	CR	CU	CV	CW	CX	CY	CZ	DE	DJ	DK	DM	DO	DZ	EC	EE	EG	EH	ER	ES	ET	FI	FJ	FK	FM	FO	FR	GA	GB	GD	GE	GF	GG	GH	GI	GL	GM	GN	GP	GQ	GR	GS	GT	GU	GW	GY	HK	HN	HR	HT	HU	ID	IE	IL	IM	IN	IQ	IR	IS	IT	JE	JM	JO	JP	KE	KG	KH	KI	KM	KN	KR	KW	KY	KZ	LA	LB	LC	LI	LK	LR	LS	LT	LU	LV	LY	MA	MC	MD	ME	MF	MG	MH	MK	ML	MM	MN	MO	MP	MQ	MR	MS	MT	MU	MV	MW	MX	MY	MZ	NC	NE	NF	NG	NI	NL	NO	NP	NR	NU	NZ	OM	PA	PE	PF	PG	PH	PK	PL	PM	PN	PR	PS	PT	PY	QA	RE	RO	RS	RU	RW	SA	SB	SC	SD	SE	SG	SH	SI	SK	SL	SM	SN	SO	SR	ST	SV	SX	SY	SZ	TC	TD	TG	TH	TJ	TK	TL	TM	TN	TO	TR	TT	TV	TW	TZ	UA	UG	US	UY	UZ	VC	VE	VG	VI	VN	VU	WF	WS	XK	YE	YT	ZA	ZM	ZW
Telekomunikasi Indonesia (Persero) Tbk PT	ID	35	2	7	7	7	0,2	0,885714286	0,942857143	0,647346939	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Telenor ASA	NO	149	116	12	17	19	0,362416107	0,751677852	0,832214765	0,420026125	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Tencent Holdings Ltd	CN	67	155	5	10	19	0,52238806	0,776119403	0,925373134	0,289374025	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found
Tesla Inc	US	343	12	35	35	35	0,233236152	0,865889213	0,89212828	0,59572967	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Texas Instruments Inc	US	92	8	30	30	30	0,663043478	0,467391304	0,565217391	0,13705104	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Thales SA	FR	113	51	11	28	30	0,716814159	0,548672566	0,646017699	0,131177069	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Physical	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Physical	Not found	Digital	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Thermo Fisher Scientific Inc	US	1093	142	52	52	52	0,657822507	0,541628545	0,615736505	0,146410368	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
Thomson Reuters Corp	CA	141	382	10	31	40	0,943262411	0,588652482	0,687943262	0,165836729	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Physical	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Digital	Not found	Physical	Physical	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Physical	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Digital	Physical	Not found	Not found	Not found	Annual Reporting	Digital	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Tokio Marine Holdings Inc	JP	77	106	7	15	15	0,883116883	0,701298701	0,831168831	0,234609546	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Toronto-Dominion Bank	CA	81	172	9	10	10	0,555555556	0,851851852	0,913580247	0,311690291	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Total SA	FR	1164	204	89	94	113	0,678694158	0,632302405	0,692439863	0,168641726	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Not found	Digital	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Annual Reporting	Digital	Not found	Not found	Not found	Annual Reporting	Digital	Digital	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Digital	Not found	Physical	Digital	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Physical	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Digital	Digital	Physical	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Digital	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Digital	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Digital	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Annual Reporting	Annual Reporting
Toyota Motor Corp	JP	204	448	20	40	74	0,823529412	0,5	0,573529412	0,118752403	Not found	Physical	Not found	Not found	Not found	Digital	Digital	Not found	Not found	Annual Reporting	Not found	Digital	Annual Reporting	Not found	Digital	Digital	Not found	Not found	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Not found	Digital	Digital	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Physical	Annual Reporting	Not found	Physical	Not found	Digital	Not found	Not found	Digital	Not found	Not found	Not found	Physical	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Digital	Not found	Physical	Annual Reporting	Physical	Digital	Not found	Annual Reporting	Not found	Not found	Digital	Physical	Not found	Not found	Not found	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Digital	Digital	Digital	Not found	Not found	Not found	Digital	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Digital	Digital	Not found	Not found	Digital	Not found	Not found	Physical	Not found	Physical	Not found	Not found	Physical	Not found	Digital	Not found	Not found	Not found	Physical	Digital	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Digital	Annual Reporting	Not found	Digital	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found
